Timestamp, Q1.  What is your age group?  ,Q2.  What is your approximate monthly income (in Naira)? ,Q3.  What is your current employment status? ,Q4.  How would you describe the consistency of your income? ,Q1.  I trust that Cowrywise will keep my money safe. ,Q2.  I am confident that Cowrywise has adequate security measures to protect my personal data. ,Q3.  The fact that Cowrywise is regulated by the SEC increases my confidence in the platform. ,Q4.  I trust Cowrywise more than traditional informal savings methods like Ajo/Esusu. ,Q5.  Past negative news about Nigerian fintech companies makes me hesitant to fully trust Cowrywise. ,Q1.  How would you rate your overall financial knowledge? ,"Q2.  Before using Cowrywise, did you understand how interest on digital savings works?",Q3.   How did your level of financial knowledge influence your decision to use Cowrywise?   ,"Q4.  In your view, what would most improve your confidence in using digital savings platforms like Cowrywise? ",Q1.  How did you first hear about Cowrywise? ,"Q2.  Did seeing others save on Cowrywise (friends, family, or social media) influence your decision to join? ",Q3. Financial influencers on social media made digital savings feel more trustworthy and accessible to me.   ,Q4.  Positive reviews and testimonials online increased my confidence in using Cowrywise. ,Q1.  The Cowrywise app is easy to navigate and use. ,Q2.  The onboarding / sign-up process was straightforward and quick. ,"Q3.  Overall, my experience with Cowrywise has positively influenced my savings behaviour. "
3/24/2026 0:23:38,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Agree,Strongly Agree,Disagree,Good – I am comfortable with most financial concepts,"Yes, fully",I felt confident enough to join because of my financial knowledge,Knowledge on different investment products,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Agree,Agree,Neutral,Neutral,Neutral
3/24/2026 22:19:36,18 – 24,"Below ₦100,000",Student,Highly irregular – unpredictable income,Disagree,Neutral,Agree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge delayed my adoption,The Good results it's yield,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Agree,Agree,Disagree,Neutral
3/25/2026 10:49:41,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Agree,Agree,Agree,Neutral,Basic – I understand savings but not investments,Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Knowledge if it's features and how I can benefit from it,Workplace or community group,Yes — it was a minor factor,Neutral,Agree,Agree,Agree,Agree
3/25/2026 11:22:31,18 – 24,"Below ₦100,000",Student,Moderately irregular – varies month to month,Agree,Agree,Agree,Neutral,Agree,Very poor – I know very little about financial products,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Good services ,Other (please specify): ____________________________,Yes — it was a minor factor,Agree,Neutral,Neutral,Agree,Neutral
3/25/2026 17:34:11,45 – 55,"Above ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Neutral,Neutral,Agree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments","No, I still do not fully understand",Limited knowledge has prevented me from using certain features on the platform,Constant profit,Recommendation from a friend or family member,No — it had no influence on my decision,Neutral,Neutral,Neutral,Neutral,Neutral
3/25/2026 17:51:07,18 – 24,"Below ₦100,000",Employed (Full-time),Highly irregular – unpredictable income,Strongly Agree,Agree,Agree,Strongly Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,The Interest attached with saving on the app,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
3/25/2026 21:50:35,25 – 34,"Below ₦100,000",Employed (Full-time),Highly irregular – unpredictable income,Agree,Agree,Agree,Agree,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Trust,Google / App Store search,I am not sure,Agree,Neutral,Agree,Agree,Neutral
3/31/2026 13:05:01,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Neutral,Basic – I understand savings but not investments,Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,I’m not sure.,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Neutral,Agree,Agree,Agree,Neutral
3/31/2026 17:50:25,18 – 24,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,More security ,Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Agree
3/31/2026 17:51:00,25 – 34,"₦250,001 – ₦500,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Agree,Agree,Good – I am comfortable with most financial concepts,"No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,Structure ,Recommendation from a friend or family member,Yes — it was a minor factor,Agree,Agree,Agree,Agree,Agree
3/31/2026 18:05:50,25 – 34,"₦100,000 – ₦250,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,I’m currently confident ,Recommendation from a friend or family member,Yes — it was a major factor,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
4/1/2026 21:34:21,18 – 24,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Neutral,Agree,Agree,Neutral,Basic – I understand savings but not investments,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Flexibility in withdrawals,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a minor factor,Disagree,Agree,Neutral,Neutral,Neutral
4/1/2026 21:37:37,25 – 34,"Above ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Neutral,Agree,Agree,Agree,Excellent – I am highly knowledgeable about financial products,"Yes, fully",I felt confident enough to join because of my financial knowledge,…,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Agree,Neutral,Agree,Neutral,Neutral
4/1/2026 21:39:06,25 – 34,"₦100,000 – ₦250,000",Employed (Part-time),Very stable – same amount every month,Agree,Neutral,Agree,Strongly Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,"I’d feel more confident if the platform is consistently reliable, like smooth withdrawals, no glitches, knowing my money is safe",Recommendation from a friend or family member,Yes — it was a major factor,Neutral,Agree,Agree,Agree,Strongly Agree
4/1/2026 21:57:36,18 – 24,"₦500,001 – ₦1,000,000",Employed (Full-time),Mostly stable – occasional variation,Agree,Agree,Agree,Agree,Neutral,"Moderate – I understand savings, interest, and some investments","Yes, fully",I joined despite limited knowledge — I was curious to learn,rewards ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Agree,Agree,Neutral,Agree,Agree
4/1/2026 22:02:12,18 – 24,"₦500,001 – ₦1,000,000",Self-employed / Entrepreneur,Mostly stable – occasional variation,Agree,Agree,Agree,Strongly Agree,Neutral,Good – I am comfortable with most financial concepts,"Yes, fully",I joined despite limited knowledge — I was curious to learn,Nothing ,Recommendation from a friend or family member,Yes — it was a major factor,Disagree,Agree,Agree,Agree,Neutral
4/1/2026 22:14:33,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Excellent – I am highly knowledgeable about financial products,Partially – I had some understanding,I felt confident enough to join because of my financial knowledge,"Being able to withdraw funds easily when needed. Also, responsive customer support makes a big difference.",Recommendation from a friend or family member,Yes — it was a major factor,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
4/1/2026 22:29:31,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Agree,Agree,Agree,Neutral,Disagree,"Moderate – I understand savings, interest, and some investments","No, but I learned after joining",I joined despite limited knowledge — I was curious to learn,I’m satisfied and confident in the platform as is ,Instagram / Twitter (X) / TikTok advertisement,No — it had no influence on my decision,Neutral,Neutral,Agree,Agree,Agree
4/1/2026 22:39:47,25 – 34,"₦500,001 – ₦1,000,000",Employed (Full-time),Very stable – same amount every month,Neutral,Agree,Agree,Agree,Disagree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge delayed my adoption,Real life user experience/testimonials ,Instagram / Twitter (X) / TikTok advertisement,Yes — it was a major factor,Neutral,Agree,Neutral,Agree,Neutral
4/1/2026 22:40:16,18 – 24,"Below ₦100,000",Unemployed,Very stable – same amount every month,Neutral,Neutral,Neutral,Neutral,Neutral,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,I joined despite limited knowledge — I was curious to learn,Nothing ,Financial influencer or content creator,I am not sure,Neutral,Agree,Agree,Agree,Agree
4/1/2026 22:51:52,25 – 34,"₦100,000 – ₦250,000",Self-employed / Entrepreneur,Highly irregular – unpredictable income,Neutral,Neutral,Agree,Disagree,Strongly Agree,"Moderate – I understand savings, interest, and some investments",Partially – I had some understanding,Limited knowledge has prevented me from using certain features on the platform,Nothing unfortunately.,Financial influencer or content creator,Yes — it was a minor factor,Neutral,Neutral,Neutral,Disagree,Neutral
